tropical fruit,rolls/buns,white bread,,,,,,,
whole milk,pip fruit,whipped/sour cream,,,,,,,
other vegetables,specialty chocolate,,,,,,,,
butter,whipped/sour cream,Instant food products,cake bar,,,,,,
whole milk,butter,fruit/vegetable juice,sausage,pork,,,,,
pip fruit,frozen meals,herbs,,,,,,,
margarine,napkins,,,,,,,,
rolls/buns,salty snack,,,,,,,,
whole milk,rolls/buns,pasta,,,,,,,
rolls/buns,yogurt,,,,,,,,
root vegetables,white bread,,,,,,,,
tropical fruit,chicken,packaged fruit/vegetables,onions,,,,,,
yogurt,hamburger meat,,,,,,,,
dessert,prosecco,,,,,,,,
chicken,candy,frozen vegetables,,,,,,,
tropical fruit,whole milk,brown bread,,,,,,,
beef,dessert,,,,,,,,
whole milk,other vegetables,,,,,,,,
citrus fruit,bottled water,,,,,,,,
whole milk,rolls/buns,citrus fruit,,,,,,,
tropical fruit,sliced cheese,,,,,,,,
whole milk,napkins,chocolate marshmallow,,,,,,,
tropical fruit,other vegetables,,,,,,,,
root vegetables,curd,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,
butter,yogurt,root vegetables,,,,,,,
chicken,onions,,,,,,,,
whole milk,pastry,,,,,,,,
bottled water,pork,,,,,,,,
soda,curd,,,,,,,,
butter,sweet spreads,,,,,,,,
pip fruit,soda,,,,,,,,
whole milk,rolls/buns,soda,condensed milk,,,,,,
tropical fruit,rolls/buns,,,,,,,,
whole milk,butter,,,,,,,,
candy,white bread,,,,,,,,
frankfurter,herbs,,,,,,,,
specialty bar,margarine,,,,,,,,
whole milk,meat,,,,,,,,
yogurt,house keeping products,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,
other vegetables,UHT-milk,dishes,,,,,,,
beverages,waffles,,,,,,,,
yogurt,pasta,cat food,,,,,,,
tropical fruit,red/blush wine,fish,cream cheese ,,,,,,
other vegetables,rolls/buns,soda,dishes,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,
hamburger meat,bottled beer,,,,,,,,
pork,coffee,frozen vegetables,,,,,,,
shopping bags,,,,,,,,,
beef,shopping bags,,,,,,,,
hamburger meat,soda,,,,,,,,
butter milk,yogurt,margarine,,,,,,,
whole milk,soda,,,,,,,,
root vegetables,grapes,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,
bottled water,chewing gum,,,,,,,,
chicken,coffee,beverages,,,,,,,
other vegetables,yogurt,pork,detergent,shopping bags,soft cheese,,,,
butter,dog food,,,,,,,,
chicken,frozen vegetables,,,,,,,,
hamburger meat,pastry,,,,,,,,
whole milk,other vegetables,,,,,,,,
rolls/buns,waffles,,,,,,,,
whole milk,sugar,,,,,,,,
soda,,,,,,,,,
bottled beer,oil,,,,,,,,
citrus fruit,frankfurter,margarine,,,,,,,
fruit/vegetable juice,soda,,,,,,,,
other vegetables,photo/film,,,,,,,,
pork,white wine,,,,,,,,
bottled water,yogurt,soda,newspapers,,,,,,
whipped/sour cream,meat spreads,,,,,,,,
pip fruit,other vegetables,,,,,,,,
whole milk,ham,,,,,,,,
pickled vegetables,salty snack,,,,,,,,
soda,domestic eggs,sliced cheese,,,,,,,
tropical fruit,UHT-milk,,,,,,,,
bottled water,sausage,,,,,,,,
yogurt,root vegetables,,,,,,,,
other vegetables,root vegetables,,,,,,,,
other vegetables,chicken,,,,,,,,
dessert,spread cheese,,,,,,,,
sausage,salty snack,cling film/bags,,,,,,,
tropical fruit,whole milk,root vegetables,margarine,Instant food products,,,,,
fruit/vegetable juice,soda,bottled beer,,,,,,,
beef,chocolate,,,,,,,,
beverages,dessert,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,
ham,whipped/sour cream,ketchup,,,,,,,
white bread,frozen fruits,,,,,,,,
tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,
whole milk,other vegetables,butter,yogurt,shopping bags,,,,,
whole milk,sauces,,,,,,,,
whole milk,citrus fruit,,,,,,,,
rolls/buns,candy,,,,,,,,
whole milk,root vegetables,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,
other vegetables,root vegetables,long life bakery product,,,,,,,
tropical fruit,rolls/buns,,,,,,,,
tropical fruit,frankfurter,,,,,,,,
tropical fruit,whole milk,rum,long life bakery product,,,,,,
hamburger meat,soda,,,,,,,,
red/blush wine,frozen fish,,,,,,,,
beef,dessert,,,,,,,,
root vegetables,bottled beer,,,,,,,,
shopping bags,oil,,,,,,,,
whole milk,other vegetables,,,,,,,,
tropical fruit,whole milk,,,,,,,,
hamburger meat,pork,,,,,,,,
tropical fruit,rolls/buns,chocolate,coffee,,,,,,
pork,spread cheese,,,,,,,,
yogurt,soda,,,,,,,,
domestic eggs,salt,,,,,,,,
rolls/buns,pork,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,
tropical fruit,bottled beer,sliced cheese,dishes,,,,,,
newspapers,cream cheese ,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,
fruit/vegetable juice,yogurt,roll products ,,,,,,,
other vegetables,ham,,,,,,,,
frankfurter,canned beer,,,,,,,,
brown bread,finished products,dishes,,,,,,,
bottled water,yogurt,domestic eggs,,,,,,,
pip fruit,curd,prosecco,,,,,,,
brown bread,salt,,,,,,,,
semi-finished bread,ketchup,,,,,,,,
shopping bags,oil,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,
misc. beverages,instant coffee,,,,,,,,
detergent,candy,,,,,,,,
UHT-milk,canned fish,,,,,,,,
citrus fruit,frankfurter,fruit/vegetable juice,bottled water,,,,,,
frankfurter,frozen meals,dishes,,,,,,,
pip fruit,rolls/buns,,,,,,,,
butter,bottled water,sausage,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,
whole milk,coffee,ham,,,,,,,
sausage,brown bread,,,,,,,,
other vegetables,butter,,,,,,,,
tropical fruit,soda,,,,,,,,
pastry,pasta,,,,,,,,
brown bread,white bread,,,,,,,,
rolls/buns,canned beer,soda,artif. sweetener,,,,,,
rolls/buns,root vegetables,,,,,,,,
chicken,soda,,,,,,,,
rolls/buns,frankfurter,coffee,curd,white bread,,,,,
bottled water,red/blush wine,sweet spreads,,,,,,,
rolls/buns,onions,napkins,,,,,,,
canned beer,soda,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,
tropical fruit,specialty bar,yogurt,bottled beer,baking powder,,,,,
whole milk,other vegetables,frankfurter,pastry,newspapers,,,,,
yogurt,beverages,,,,,,,,
tropical fruit,whole milk,,,,,,,,
butter milk,coffee,,,,,,,,
other vegetables,beef,margarine,,,,,,,
bottled water,hygiene articles,,,,,,,,
pork,sliced cheese,,,,,,,,
soda,specialty chocolate,bathroom cleaner,,,,,,,
whole milk,hamburger meat,,,,,,,,
pip fruit,other vegetables,,,,,,,,
citrus fruit,root vegetables,,,,,,,,
other vegetables,soda,shopping bags,,,,,,,
yogurt,newspapers,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,
other vegetables,beef,butter,soda,curd,,,,,
canned beer,herbs,margarine,,,,,,,
rolls/buns,soda,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,
berries,coffee,,,,,,,,
ham,white bread,,,,,,,,
pot plants,herbs,cake bar,,,,,,,
soda,jam,flower (seeds),,,,,,,
pip fruit,chocolate,sausage,,,,,,,
specialty chocolate,white bread,,,,,,,,
whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,
sausage,beverages,,,,,,,,
whole milk,hard cheese,,,,,,,,
yogurt,berries,,,,,,,,
tropical fruit,other vegetables,meat,domestic eggs,baking powder,,,,,
yogurt,sauces,,,,,,,,
beef,yogurt,,,,,,,,
whole milk,ice cream,,,,,,,,
yogurt,sausage,pastry,detergent,specialty chocolate,napkins,dishes,whisky,,
photo/film,shopping bags,,,,,,,,
other vegetables,frankfurter,bottled beer,,,,,,,
yogurt,newspapers,,,,,,,,
other vegetables,specialty bar,root vegetables,soda,frozen vegetables,,,,,
rolls/buns,bottled water,sausage,grapes,bottled beer,domestic eggs,salty snack,Instant food products,,
dessert,domestic eggs,,,,,,,,
tropical fruit,sausage,root vegetables,misc. beverages,,,,,,
whole milk,sausage,,,,,,,,
whole milk,brown bread,,,,,,,,
hamburger meat,flour,detergent,,,,,,,
tropical fruit,soda,,,,,,,,
newspapers,salty snack,,,,,,,,
whole milk,pasta,waffles,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,
flour,pickled vegetables,,,,,,,,
yogurt,shopping bags,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,
tropical fruit,whole milk,soda,curd,,,,,,
root vegetables,shopping bags,,,,,,,,
curd,shopping bags,whipped/sour cream,,,,,,,
whole milk,sausage,cake bar,,,,,,,
frankfurter,bottled water,whipped/sour cream,,,,,,,
whole milk,hard cheese,,,,,,,,
tropical fruit,whole milk,citrus fruit,frankfurter,yogurt,canned beer,specialty chocolate,hard cheese,,
rolls/buns,canned beer,napkins,,,,,,,
other vegetables,grapes,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,
tropical fruit,candy,,,,,,,,
citrus fruit,dessert,,,,,,,,
bottled water,root vegetables,frozen vegetables,cat food,,,,,,
pork,spread cheese,,,,,,,,
pip fruit,brown bread,,,,,,,,
root vegetables,instant coffee,,,,,,,,
butter,butter milk,soda,grapes,hygiene articles,pudding powder,,,,
whole milk,yogurt,,,,,,,,
hamburger meat,pasta,,,,,,,,
whole milk,processed cheese,,,,,,,,
brown bread,sparkling wine,,,,,,,,
other vegetables,rolls/buns,whipped/sour cream,,,,,,,
white wine,candy,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,
other vegetables,detergent,white bread,,,,,,,
yogurt,brown bread,beverages,,,,,,,
herbs,ice cream,,,,,,,,
yogurt,cream,,,,,,,,
chicken,pastry,candles,,,,,,,
hygiene articles,waffles,tea,,,,,,,
other vegetables,rolls/buns,yogurt,herbs,,,,,,
yogurt,root vegetables,,,,,,,,
yogurt,domestic eggs,,,,,,,,
whole milk,pork,,,,,,,,
other vegetables,white bread,,,,,,,,
tropical fruit,whole milk,bottled water,yogurt,,,,,,
citrus fruit,misc. beverages,,,,,,,,
rolls/buns,chicken,shopping bags,spread cheese,liver loaf,,,,,
citrus fruit,misc. beverages,,,,,,,,
whole milk,pastry,,,,,,,,
newspapers,onions,,,,,,,,
beef,newspapers,specialty fat,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,
rolls/buns,shopping bags,,,,,,,,
pastry,canned beer,grapes,whipped/sour cream,,,,,,
pastry,oil,salty snack,,,,,,,
frozen potato products,specialty cheese,,,,,,,,
whole milk,brown bread,shopping bags,,,,,,,
citrus fruit,margarine,frozen vegetables,,,,,,,
sugar,curd,,,,,,,,
whole milk,chocolate,,,,,,,,
pip fruit,pastry,salty snack,,,,,,,
pip fruit,margarine,,,,,,,,
yogurt,ham,,,,,,,,
soda,salty snack,,,,,,,,
chocolate,bottled water,,,,,,,,
butter,pastry,curd,margarine,baking powder,dishes,,,,
whole milk,soda,,,,,,,,
liquor,pickled vegetables,,,,,,,,
yogurt,margarine,,,,,,,,
whole milk,soda,UHT-milk,frozen vegetables,,,,,,
other vegetables,whipped/sour cream,,,,,,,,
beef,semi-finished bread,,,,,,,,
bottled water,flour,sugar,,,,,,,
newspapers,ice cream,dish cleaner,jam,,,,,,
canned beer,curd,,,,,,,,
specialty bar,bottled beer,baking powder,,,,,,,
whole milk,yogurt,newspapers,,,,,,,
pork,domestic eggs,pudding powder,,,,,,,
root vegetables,shopping bags,,,,,,,,
misc. beverages,UHT-milk,white bread,,,,,,,
sausage,dessert,dog food,shopping bags,,,,,,
citrus fruit,root vegetables,,,,,,,,
chocolate,brown bread,salty snack,,,,,,,
chicken,shopping bags,,,,,,,,
other vegetables,butter,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,
other vegetables,yogurt,,,,,,,,
root vegetables,turkey,,,,,,,,
other vegetables,napkins,,,,,,,,
rolls/buns,newspapers,beverages,white bread,,,,,,
other vegetables,zwieback,,,,,,,,
butter milk,brown bread,soda,canned vegetables,,,,,,
chicken,bottled water,,,,,,,,
brown bread,soda,,,,,,,,
other vegetables,root vegetables,newspapers,hard cheese,cream cheese ,liquor,,,,
rolls/buns,frankfurter,,,,,,,,
whole milk,meat,whipped/sour cream,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,
pip fruit,canned beer,processed cheese,,,,,,,
berries,condensed milk,,,,,,,,
rolls/buns,curd,pickled vegetables,house keeping products,,,,,,
whole milk,butter,pastry,hair spray,,,,,,
yogurt,ham,,,,,,,,
whole milk,grapes,,,,,,,,
other vegetables,meat,,,,,,,,
other vegetables,specialty bar,,,,,,,,
soda,newspapers,UHT-milk,white bread,,,,,,
citrus fruit,brown bread,,,,,,,,
tropical fruit,sugar,,,,,,,,
tropical fruit,pastry,condensed milk,chocolate marshmallow,rice,,,,,
coffee,shopping bags,,,,,,,,
citrus fruit,bottled water,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,
chicken,dishes,,,,,,,,
rolls/buns,yogurt,oil,,,,,,,
pork,soda,canned vegetables,,,,,,,
whole milk,pip fruit,,,,,,,,
rolls/buns,frozen vegetables,cling film/bags,,,,,,,
bottled beer,hygiene articles,,,,,,,,
yogurt,soda,,,,,,,,
rolls/buns,margarine,,,,,,,,
condensed milk,shopping bags,,,,,,,,
citrus fruit,popcorn,,,,,,,,
sausage,pastry,,,,,,,,
rolls/buns,root vegetables,margarine,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,
root vegetables,pork,newspapers,napkins,,,,,,
whole milk,misc. beverages,long life bakery product,,,,,,,
citrus fruit,soda,,,,,,,,
soda,roll products ,,,,,,,,
rolls/buns,frankfurter,margarine,shopping bags,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,
coffee,meat,,,,,,,,
frankfurter,white bread,,,,,,,,
liquor,domestic eggs,,,,,,,,
specialty bar,soda,frozen vegetables,,,,,,,
frozen meals,grapes,flower (seeds),,,,,,,
yogurt,brown bread,shopping bags,tea,,,,,,
white wine,flower (seeds),,,,,,,,
specialty chocolate,cream cheese ,,,,,,,,
whole milk,baking powder,,,,,,,,
soda,margarine,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,
yogurt,softener,,,,,,,,
frankfurter,bottled water,root vegetables,dessert,,,,,,
other vegetables,rolls/buns,shopping bags,salty snack,semi-finished bread,,,,,
whole milk,soda,,,,,,,,
whole milk,bottled beer,,,,,,,,
yogurt,pastry,,,,,,,,
curd,domestic eggs,,,,,,,,
coffee,shopping bags,,,,,,,,
rolls/buns,sausage,rice,,,,,,,
whole milk,pork,napkins,,,,,,,
other vegetables,oil,,,,,,,,
yogurt,brown bread,pastry,,,,,,,
newspapers,cream cheese ,,,,,,,,
butter,sausage,soda,dessert,shopping bags,,,,,
butter,hard cheese,,,,,,,,
whole milk,other vegetables,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,
tropical fruit,butter milk,brown bread,,,,,,,
tropical fruit,whole milk,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,
citrus fruit,herbs,,,,,,,,
butter milk,root vegetables,,,,,,,,
shopping bags,instant coffee,,,,,,,,
tropical fruit,other vegetables,,,,,,,,
other vegetables,beef,,,,,,,,
canned beer,nut snack,,,,,,,,
whole milk,other vegetables,sugar,,,,,,,
whole milk,root vegetables,,,,,,,,
citrus fruit,napkins,,,,,,,,
rolls/buns,butter milk,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,
tropical fruit,soft cheese,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,
pork,pickled vegetables,,,,,,,,
other vegetables,frankfurter,curd,photo/film,waffles,,,,,
pip fruit,other vegetables,cling film/bags,,,,,,,
whole milk,rolls/buns,soda,,,,,,,
tropical fruit,yogurt,,,,,,,,
rolls/buns,cat food,,,,,,,,
berries,white bread,,,,,,,,
rolls/buns,soda,,,,,,,,
chicken,brown bread,,,,,,,,
other vegetables,napkins,,,,,,,,
newspapers,soups,,,,,,,,
soda,UHT-milk,,,,,,,,
pork,soda,,,,,,,,
pickled vegetables,oil,,,,,,,,
whole milk,sugar,soda,,,,,,,
misc. beverages,spread cheese,,,,,,,,
whole milk,meat,,,,,,,,
pork,domestic eggs,,,,,,,,
root vegetables,coffee,,,,,,,,
canned beer,fish,,,,,,,,
root vegetables,hard cheese,white bread,,,,,,,
chicken,domestic eggs,white bread,,,,,,,
soda,whipped/sour cream,,,,,,,,
other vegetables,brown bread,,,,,,,,
tropical fruit,root vegetables,,,,,,,,
soda,bottled beer,,,,,,,,
whole milk,bottled beer,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,
pork,margarine,,,,,,,,
pip fruit,root vegetables,frozen vegetables,cereals,,,,,,
yogurt,soda,,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,
curd,soft cheese,,,,,,,,
whole milk,soda,,,,,,,,
frozen meals,detergent,,,,,,,,
specialty chocolate,canned fish,,,,,,,,
other vegetables,soda,,,,,,,,
tropical fruit,pork,,,,,,,,
yogurt,pork,,,,,,,,
whole milk,yogurt,sausage,dog food,shopping bags,sliced cheese,baking powder,white bread,,
other vegetables,soda,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,
chicken,yogurt,soda,bottled beer,,,,,,
yogurt,frozen vegetables,seasonal products,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,
rolls/buns,bottled water,UHT-milk,long life bakery product,,,,,,
canned beer,sugar,,,,,,,,
pip fruit,berries,,,,,,,,
curd,soft cheese,,,,,,,,
pip fruit,pastry,berries,,,,,,,
whole milk,rolls/buns,,,,,,,,
pork,domestic eggs,,,,,,,,
frozen meals,soda,,,,,,,,
curd cheese,soda,,,,,,,,
whole milk,grapes,,,,,,,,
whole milk,bottled beer,chewing gum,ready soups,,,,,,
butter,ice cream,,,,,,,,
chicken,cake bar,,,,,,,,
frankfurter,mustard,soft cheese,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,
other vegetables,root vegetables,frozen vegetables,,,,,,,
rolls/buns,female sanitary products,,,,,,,,
whole milk,citrus fruit,sausage,canned beer,,,,,,
whole milk,yogurt,sausage,pet care,,,,,,
whole milk,house keeping products,,,,,,,,
frankfurter,brandy,,,,,,,,
other vegetables,berries,,,,,,,,
tropical fruit,whole milk,UHT-milk,napkins,,,,,,
beef,frozen meals,curd,,,,,,,
other vegetables,rolls/buns,butter,root vegetables,,,,,,
whole milk,bottled water,,,,,,,,
citrus fruit,yogurt,,,,,,,,
whole milk,cream cheese ,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,
citrus fruit,soda,,,,,,,,
citrus fruit,light bulbs,,,,,,,,
whole milk,yogurt,,,,,,,,
butter,chewing gum,,,,,,,,
whole milk,root vegetables,,,,,,,,
tropical fruit,pip fruit,mustard,,,,,,,
beef,coffee,bottled beer,domestic eggs,,,,,,
frozen meals,shopping bags,,,,,,,,
whole milk,other vegetables,yogurt,spread cheese,,,,,,
beef,newspapers,bottled beer,,,,,,,
coffee,misc. beverages,,,,,,,,
citrus fruit,canned beer,,,,,,,,
yogurt,white bread,,,,,,,,
red/blush wine,salty snack,,,,,,,,
fruit/vegetable juice,canned beer,berries,male cosmetics,,,,,,
bottled water,sausage,,,,,,,,
whole milk,citrus fruit,beef,bottled water,newspapers,,,,,
frozen vegetables,white bread,,,,,,,,
other vegetables,sliced cheese,,,,,,,,
whole milk,root vegetables,canned vegetables,,,,,,,
beef,house keeping products,,,,,,,,
whole milk,frozen vegetables,,,,,,,,
packaged fruit/vegetables,chocolate,pork,,,,,,,
curd,spices,,,,,,,,
tropical fruit,bottled water,,,,,,,,
brown bread,root vegetables,,,,,,,,
other vegetables,rolls/buns,,,,,,,,
coffee,domestic eggs,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,
whole milk,chocolate,bottled beer,UHT-milk,,,,,,
herbs,long life bakery product,sweet spreads,,,,,,,
soda,detergent,,,,,,,,
soda,margarine,,,,,,,,
bottled water,liquor,,,,,,,,
cleaner,napkins,,,,,,,,
other vegetables,rolls/buns,,,,,,,,
napkins,,,,,,,,,
bottled beer,cake bar,,,,,,,,
whole milk,other vegetables,white bread,waffles,,,,,,
newspapers,finished products,whipped/sour cream,,,,,,,
pip fruit,chicken,,,,,,,,
chocolate,shopping bags,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,
whole milk,rolls/buns,bottled water,pork,turkey,soda,dog food,,,
pip fruit,whipped/sour cream,,,,,,,,
whole milk,sparkling wine,,,,,,,,
whole milk,canned beer,,,,,,,,
soda,whipped/sour cream,,,,,,,,
other vegetables,soda,,,,,,,,
brown bread,pasta,,,,,,,,
bottled water,onions,,,,,,,,
beverages,specialty chocolate,,,,,,,,
rolls/buns,fruit/vegetable juice,bottled beer,,,,,,,
specialty bar,newspapers,,,,,,,,
rolls/buns,margarine,,,,,,,,
rolls/buns,hard cheese,,,,,,,,
rolls/buns,fruit/vegetable juice,soft cheese,,,,,,,
pickled vegetables,baking powder,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,
citrus fruit,syrup,,,,,,,,
root vegetables,cling film/bags,,,,,,,,
other vegetables,hamburger meat,,,,,,,,
whole milk,citrus fruit,yogurt,soda,white wine,shopping bags,,,,
pasta,oil,,,,,,,,
citrus fruit,brown bread,specialty chocolate,,,,,,,
beef,butter,chocolate,bottled water,yogurt,berries,,,,
bottled water,sugar,hard cheese,,,,,,,
whole milk,soda,,,,,,,,
tropical fruit,other vegetables,,,,,,,,
other vegetables,pastry,,,,,,,,
curd cheese,frozen potato products,domestic eggs,,,,,,,
tropical fruit,whole milk,,,,,,,,
rolls/buns,brown bread,canned beer,dessert,,,,,,
tropical fruit,shopping bags,,,,,,,,
chocolate,bottled water,jam,,,,,,,
